pairs,Treatment,value
15 18,E,-1.1934673001296603
15 18,E,-1.4816745046021185
15 18,E,-1.268035615297893
15 18,E,-1.4800410328519087
15 18,E,-1.8810828197254568
15 18,E,-1.155966736045917
15 18,E,-1.5658396642211503
15 18,E,-1.136103490825711
15 18,E,-1.7413099655490654
15 18,E,-1.2680708543018588
15 18,E,-1.4264915490202545
15 18,E,-1.74788164337266
15 18,E,-1.2859236429034273
15 18,E,-1.808163140094377
15 18,E,-1.9182284566836494
15 18,E,-1.1658565034311017
15 18,E,-1.2826512401005123
15 18,E,-1.0271225932432684
15 18,E,-1.7199689364012638
15 18,E,-1.2068308349762247
15 18,E,-1.402677899754455
15 18,E,-1.299707091808453
15 18,E,-1.5258298527941547
15 18,E,-1.0821656469843166
15 18,E,-1.2325871855968196
15 18,E,-1.2123008814737735
15 18,E,-1.6504054240658361
15 18,E,-1.170556311869647
15 18,E,-1.4694476900344764
15 18,E,-1.7474818930923317
15 18,E,-1.8993752561808308
15 18,E,-1.9826539612702199
15 18,E,-1.1379245026274125
15 18,E,-1.5091988344912306
15 18,E,-1.2455007061381758
15 18,E,-1.575739114697723
15 18,E,-1.11385519186744
15 18,E,-1.633236337777092
15 18,E,-1.9594880331814732
15 18,E,-1.1091514165375818
15 18,E,-1.6126549837294855
15 18,E,-1.8272782752916044
15 18,E,-1.8284458157529293
15 18,E,-1.9441360349479853
15 18,E,-1.1180361846881244
15 18,E,-1.6666699473443713
15 18,E,-1.0405355576697994
15 18,E,-1.3707718321939757
15 18,E,-1.1275153439760999
15 18,E,-1.5942910562909671
15 18,E,-1.1299991490071686
15 18,E,-1.80597698160706
15 18,E,-1.9878996477132511
15 18,E,-1.8866822984507812
15 18,E,-1.1191999150208716
15 18,E,-1.6026064852461956
15 18,E,-1.308400732450373
15 18,E,-1.5686354048442122
15 18,E,-1.2395550196455485
15 18,E,-1.7316816390156713
15 18,E,-1.248414284761805
15 18,E,-1.5805520018449477
15 18,E,-1.0712407899018943
15 18,E,-1.8865656868725862
15 18,E,-1.1012891400418687
15 18,E,-1.6205172602251985
15 18,E,-1.1211968015195721
15 18,E,-1.814604947728141
15 18,E,-1.1404258994076417
15 18,E,-1.3109510812764384
15 18,E,-1.9198309611113706
15 18,E,-1.039916622834729
15 18,E,-1.4881231768453647
15 18,E,-1.0801113340064485
15 18,E,-1.7364938608309632
15 18,E,-1.3440634283882904
15 18,E,-1.4405894428840242
15 18,E,-1.3129002830682326
15 18,E,-1.6495317159738752
15 18,E,-1.227023598018806
15 18,E,-1.5918498345635888
15 18,E,-1.1540760034506083
15 18,E,-1.4686410598455737
15 18,E,-1.8309520418457035
15 18,E,-1.1062352537339613
15 18,E,-1.6764894623424456
15 18,E,-1.3141555401167084
15 18,E,-1.634856489051425
15 18,E,-2.045639480467105
15 18,E,-1.9302982073809474
15 18,E,-1.1694556175545643
15 18,E,-1.6932506879850453
15 18,E,-1.2944322975495444
15 18,E,-1.621561057541406
15 18,E,-1.15622864489957
15 18,E,-1.5341264860186172
15 18,E,-1.1446373566866843
15 18,E,-1.6327095138359893
15 18,E,-1.4280994561009681
15 18,E,-1.6999774008600734
15 18,E,-1.8767725452126316
15 18,E,-1.1967116662737411
15 18,E,-1.8299864751531496
15 18,E,-1.2141197021020926
15 18,E,-1.7540157650853454
15 18,E,-1.936293374913621
15 18,E,-1.2349429827271134
15 18,E,-1.8787490775657345
15 18,E,-1.0406519856325005
15 18,E,-1.452554691941615
15 18,E,-2.0076535299818605
15 18,E,-1.0017427924913898
15 18,E,-1.4389229626956088
15 18,E,-1.1105719156341594
15 18,E,-1.4281444587906102
15 18,E,-1.2543312040002825
15 18,E,-1.4922626316012362
15 18,E,-1.0365900671626647
15 18,E,-1.710664634799278
15 18,E,-1.836783743216826
15 18,E,-1.0428698909132608
15 18,E,-1.2497550542451903
15 18,E,-1.3138834143966414
15 18,E,-1.5697769603014133
15 18,E,-1.0393868745854091
15 18,E,-1.7077046550591228
15 18,E,-1.1586605631972817
15 18,E,-1.4884627739213616
15 18,E,-1.1815424645186805
15 18,E,-1.8197486631165005
15 18,E,-0.9477802251314241
15 18,E,-1.3448447200270268
15 18,E,-1.1926343124579095
15 18,E,-1.5139353838943481
15 18,E,-1.3191954466681943
15 18,E,-1.5020443741677043
15 18,E,-2.0630439179060627
15 18,E,-1.075459599224674
15 18,E,-1.400235099473081
15 18,E,-1.900526386483523
15 18,E,-2.0361962777435605
15 18,E,-1.0823769165871058
15 18,E,-1.6648777853748369
15 18,E,-1.1788589005671932
15 18,E,-1.5991073897157433
15 18,E,-0.9517639498263872
15 18,E,-1.5396479709255921
15 18,E,-1.1355382018333862
15 18,E,-1.6534039455241063
15 18,E,-1.2336489196701217
15 18,E,-1.8800431406227263
15 18,E,-1.2041662222297467
15 18,E,-1.5439104259200551
15 18,E,-1.3205301275950307
15 18,E,-1.354611677136748
15 18,E,-2.004766852242349
15 18,E,-1.9133282277417125
15 18,E,-1.037952255400058
15 18,E,-1.5148200806042764
15 18,E,-1.9755499472088993
15 18,E,-1.2728721419491777
15 18,E,-1.4816006400437585
15 18,E,-1.1793717222522477
15 18,E,-1.5424346780148195
15 18,E,-1.8364280517326845
15 18,E,-1.1303107911675199
15 18,E,-1.88365557562283
15 18,E,-1.2755904446102917
15 18,E,-1.5085925860477116
15 18,E,-1.33639278832474
15 18,E,-1.5412991954606947
15 18,E,-1.0989966285123374
15 18,E,-1.3889735803474519
15 18,E,-1.9080645616753593
15 18,E,-0.9667221196471234
15 18,E,-1.571994254777646
15 18,E,-1.3059806397129172
15 18,E,-1.4783817844131533
15 18,E,-1.1257464911692652
15 18,E,-1.4182063519698307
15 18,E,-1.2638402652845897
15 18,E,-1.3456684694460896
15 18,E,-1.1733722381112772
15 18,E,-1.8026280317522123
15 18,E,-1.9211693755194135
15 18,E,-1.243086745615057
15 18,E,-1.6258363002996195
15 18,E,-1.1804627820340088
15 18,E,-1.553690955773549
15 18,E,-1.872860128501671
15 18,E,-1.2167298579198154
15 18,E,-1.6840783632399925
15 18,E,-0.9758034545474381
15 18,E,-1.5156084662045413
15 18,E,-1.288910168160426
15 18,E,-1.5439465111202142
15 18,E,-1.2402880693944505
15 18,E,-1.3952687338104446
15 18,E,-1.1017696539824904
15 18,E,-1.6281381503367134
15 18,E,-1.1044691694910191
15 18,E,-1.8315069611232095
15 18,E,-0.9254456032883644
15 18,E,-1.5659663174636151
15 18,E,-1.2325972579623379
15 18,E,-1.5520556133099768
15 18,E,-1.9170571014859974
15 18,E,-1.1374231754951771
15 18,E,-1.8225140381954
15 18,E,-1.9213995448350993
15 18,E,-2.0196334042144466
15 18,E,-1.246186210290779
15 18,E,-1.6063327850676998
15 18,E,-1.1382034822776486
15 18,E,-1.355003195296467
15 18,E,-1.0712407899018943
15 18,E,-1.8865656868725862
15 18,E,-1.221902790378645
15 18,E,-1.5692313457023925
15 18,E,-0.9495402900996754
15 18,E,-1.4144626460913092
15 18,E,-1.0818449281116929
15 18,E,-1.3346989304664088
15 18,E,-1.0078292901503723
15 18,E,-1.4801409187094168
15 18,E,-1.1509945406639777
15 18,E,-1.631730175412429
15 18,E,-1.004774524809896
15 18,E,-1.5393294245724098
15 18,E,-1.3294832110407042
15 18,E,-1.619879521496747
15 18,E,-1.2000075547233804
15 18,E,-1.5779587355595561
15 18,E,-1.1782606713546935
15 18,E,-1.6507056152520592
15 18,E,-1.169544342444801
15 18,E,-1.6995580969379431
15 18,E,-1.3054342199765412
15 18,E,-1.4787488106814621
15 18,E,-1.882296958267155
15 18,E,-1.2233982579741347
15 18,E,-1.6455247879405417
15 18,E,-1.747513423940716
15 18,E,-1.161551040335254
15 18,E,-1.7985655668233902
15 18,E,-1.2944322975495444
15 18,E,-1.621561057541406
15 18,E,-1.0097639818093305
15 18,E,-1.5430083541950037
15 18,E,-1.308905009497476
15 18,E,-1.468441861025198
15 18,E,-1.3156211797904835
15 18,E,-1.3907741351952585
15 18,E,-1.3121146739976892
15 18,E,-1.5339658750852503
15 18,E,-1.2480003213901418
15 18,E,-1.7234221283990088
15 18,E,-1.2731147274290051
15 18,E,-1.5158274199284871
15 18,E,-1.1109107154569802
15 18,E,-1.300396674406795
15 18,E,-1.9451149765604447
15 18,E,-1.8596642792199094
15 18,E,-1.0720499222966193
15 18,E,-1.4213078615207062
15 18,E,-1.252173186515809
15 18,E,-1.2746033018265344
15 18,E,-0.970675361750249
15 18,E,-1.253045998258916
15 18,E,-1.198875602386836
15 18,E,-1.6845989811832882
15 18,E,-1.1005706026257134
15 18,E,-1.6574623702369466
15 18,E,-1.0738621041230225
15 18,E,-1.454177695557071
15 18,E,-1.0288449279740501
15 18,E,-1.7182466016704818
15 18,E,-1.1462416646835498
15 18,E,-1.5836661396356537
15 18,E,-1.0098702294776254
15 18,E,-1.5342337199046805
15 18,E,-1.2444304166708078
15 18,E,-1.639229958027247
15 18,E,-1.9192044369668895
15 18,E,-1.1727695021457734
15 18,E,-1.4729919326691203
15 18,E,-1.4045353653694914
15 18,E,-1.4789392182006331
15 18,E,-2.0801872283783234
15 18,E,-1.1201858051087816
15 18,E,-1.6685819608821943
15 18,E,-1.2245591127218094
15 18,E,-1.559623917936194
15 18,E,-1.92205430789544
15 18,E,-1.831369397588223
15 18,E,-1.2586434701015068
15 18,E,-1.6250169045965477
15 18,E,-1.320692676209419
15 18,E,-1.4572736140735174
15 18,E,-1.250326487057096
15 18,E,-1.6759768037055407
15 18,E,-1.2201842896894544
15 18,E,-1.5687578576680379
15 18,E,-1.205043635985883
15 18,E,-1.6476611505005267
15 18,E,-1.3443632486351602
15 18,E,-1.5083415378512492
15 18,E,-2.027083644625726
15 18,E,-1.1747338882657687
15 18,E,-1.890948542507668
15 18,E,-1.0142608310582606
15 18,E,-1.5244555433665088
15 18,E,-1.0281004903081301
15 18,E,-1.550685474936944
15 18,E,-1.1129498345228246
