pairs,OTU_1,OTU_2,Treatment,value
15 18,15,18,E,-1.905315116774551
15 18,15,18,E,-1.9831412321962762
15 18,15,18,E,-1.0859105076895328
15 18,15,18,E,-1.6611810219549994
15 18,15,18,E,-1.2553377081676185
15 18,15,18,E,-1.5768074900683475
15 18,15,18,E,-1.9808361139267476
15 18,15,18,E,-1.1462327177210534
15 18,15,18,E,-1.7604027899524364
15 18,15,18,E,-1.083043316014129
15 18,15,18,E,-1.3182457365112785
15 18,15,18,E,-1.0823769165871058
15 18,15,18,E,-1.6648777853748369
15 18,15,18,E,-1.7829682118212702
15 18,15,18,E,-1.268235208241533
15 18,15,18,E,-1.5949089369448974
15 18,15,18,E,-1.2498333953709622
15 18,15,18,E,-1.5791328912357905
15 18,15,18,E,-1.9603966256004568
15 18,15,18,E,-1.1997678481948821
15 18,15,18,E,-1.6527511471635967
15 18,15,18,E,-1.8871199631137248
15 18,15,18,E,-1.1153202826002828
15 18,15,18,E,-1.642712690262377
15 18,15,18,E,-1.2387000245451623
15 18,15,18,E,-1.7260981878405184
15 18,15,18,E,-1.1801076142999032
15 18,15,18,E,-1.6413139876869243
15 18,15,18,E,-1.1172365912813516
15 18,15,18,E,-1.7149086069546142
15 18,15,18,E,-1.0818449281116929
15 18,15,18,E,-1.3346989304664088
15 18,15,18,E,-1.9808498421608003
15 18,15,18,E,-1.1081395022716096
15 18,15,18,E,-1.6389520273729226
15 18,15,18,E,-1.1774496240664458
15 18,15,18,E,-1.6852566814731638
15 18,15,18,E,-1.0459515868752611
15 18,15,18,E,-1.24667335828319
15 18,15,18,E,-1.2333459717873958
15 18,15,18,E,-1.441795832944383
15 18,15,18,E,-1.1863623703884023
15 18,15,18,E,-1.460760966730241
15 18,15,18,E,-1.224996244422036
15 18,15,18,E,-1.5292971441028327
15 18,15,18,E,-1.2597145800272018
15 18,15,18,E,-1.619949578142952
15 18,15,18,E,-1.2766652910427545
15 18,15,18,E,-1.522275388880464
15 18,15,18,E,-1.3197395161106342
15 18,15,18,E,-1.501682085876193
15 18,15,18,E,-0.9729815786941036
15 18,15,18,E,-1.3196433664643474
15 18,15,18,E,-1.173302894655518
15 18,15,18,E,-1.733986591313013
15 18,15,18,E,-1.9497477647480437
15 18,15,18,E,-1.041055381781779
15 18,15,18,E,-1.8341124872950858
15 18,15,18,E,-1.2042151163601125
15 18,15,18,E,-1.6279300818758535
15 18,15,18,E,-1.1088178968203473
15 18,15,18,E,-1.762378128273344
15 18,15,18,E,-1.1353341523470004
15 18,15,18,E,-1.8848489548184162
15 18,15,18,E,-1.7908149426102142
15 18,15,18,E,-1.2038260536460883
15 18,15,18,E,-1.5788986624303183
15 18,15,18,E,-2.0570808997693733
15 18,15,18,E,-1.2279982038820239
15 18,15,18,E,-1.798699937544867
15 18,15,18,E,-2.01860166725013
15 18,15,18,E,-1.0097639818093305
15 18,15,18,E,-1.5430083541950037
15 18,15,18,E,-1.0406695103256425
15 18,15,18,E,-1.5032833328134534
15 18,15,18,E,-1.3195646979951245
15 18,15,18,E,-1.5581272857903101
15 18,15,18,E,-0.9800524640555595
15 18,15,18,E,-1.5079177448042296
15 18,15,18,E,-1.2257585836875098
15 18,15,18,E,-1.6203219653954297
15 18,15,18,E,-1.2050971865120375
15 18,15,18,E,-1.7661394721491823
15 18,15,18,E,-1.2355310067618055
15 18,15,18,E,-1.6169879885966734
15 18,15,18,E,-1.2379927615608695
15 18,15,18,E,-1.8252971532845124
15 18,15,18,E,-1.9549729159809044
15 18,15,18,E,-1.0108839046124176
15 18,15,18,E,-1.5330689385266785
15 18,15,18,E,-1.289499143802679
15 18,15,18,E,-1.4130608819604487
15 18,15,18,E,-1.1358754312597588
15 18,15,18,E,-1.7268308742798508
15 18,15,18,E,-1.2262847204046472
15 18,15,18,E,-1.787780645449085
15 18,15,18,E,-1.1286270484504903
15 18,15,18,E,-1.742568976643201
15 18,15,18,E,-1.3732215173661477
15 18,15,18,E,-1.6948588784740446
15 18,15,18,E,-1.057153319189754
15 18,15,18,E,-1.3595416456315579
15 18,15,18,E,-1.176726393523975
15 18,15,18,E,-1.6921966523907015
15 18,15,18,E,-1.1299991490071686
15 18,15,18,E,-1.80597698160706
15 18,15,18,E,-1.2382140822962877
15 18,15,18,E,-1.4916937220229158
15 18,15,18,E,-1.2732563450400236
15 18,15,18,E,-1.5416839921380814
15 18,15,18,E,-1.9755499472088993
15 18,15,18,E,-1.1718390131255367
15 18,15,18,E,-1.7882775940331075
15 18,15,18,E,-2.0140528996993883
15 18,15,18,E,-1.9688189045868418
15 18,15,18,E,-1.019652929015045
15 18,15,18,E,-1.61590387418985
15 18,15,18,E,-1.227023598018806
15 18,15,18,E,-1.5918498345635888
15 18,15,18,E,-1.3019317628071423
15 18,15,18,E,-1.614061592283808
15 18,15,18,E,-1.0180336190317243
15 18,15,18,E,-1.4751730585423914
15 18,15,18,E,-1.0080829619559804
15 18,15,18,E,-1.4798872469038087
15 18,15,18,E,-1.1297955580409613
15 18,15,18,E,-1.8060061912067518
15 18,15,18,E,-1.9441360349479853
15 18,15,18,E,-1.0561714567334455
15 18,15,18,E,-1.6304671361160383
15 18,15,18,E,-1.9212447603268994
15 18,15,18,E,-1.180629284701378
15 18,15,18,E,-1.6945385843754868
15 18,15,18,E,-1.1921222846498827
15 18,15,18,E,-1.6539582644330566
15 18,15,18,E,-1.405006553476807
15 18,15,18,E,-1.5212967372858297
15 18,15,18,E,-1.08549875291142
15 18,15,18,E,-1.363008990620194
15 18,15,18,E,-1.1141082608969717
15 18,15,18,E,-1.6331464410649712
15 18,15,18,E,-1.1859266937708863
15 18,15,18,E,-1.815364433864295
15 18,15,18,E,-1.182381311156656
15 18,15,18,E,-1.7247263936609458
15 18,15,18,E,-1.0674442844980248
15 18,15,18,E,-1.277721583047543
15 18,15,18,E,-1.1391103238556806
15 18,15,18,E,-1.5826960764113867
15 18,15,18,E,-1.0766241216132302
15 18,15,18,E,-1.2381287109679058
15 18,15,18,E,-0.9929795398216736
15 18,15,18,E,-1.6973755910965136
15 18,15,18,E,-1.177346967544357
15 18,15,18,E,-1.6915760783703193
15 18,15,18,E,-1.9867646772989953
15 18,15,18,E,-0.9672779704511147
15 18,15,18,E,-1.5714384039736549
15 18,15,18,E,-1.9302982073809474
15 18,15,18,E,-1.0966473592021635
15 18,15,18,E,-1.5899912336473203
15 18,15,18,E,-1.1838941417987554
15 18,15,18,E,-1.6048736241922206
15 18,15,18,E,-1.8237974586131989
15 18,15,18,E,-1.2309480854899915
15 18,15,18,E,-1.5235246965029448
